FECHA,HAB-VC-F0,IN-VC-F0,PRI-VC-F0,PRO-VC-F0,HAB-VC-F1,IN-VC-F1,PRI-VC-F1,PRO-VC-F1,HAB-VC-F2,IN-VC-F2,PRI-VC-F2,PRO-VC-F2,HAB-VC-F3,IN-VC-F3,PRI-VC-F3,PRO-VC-F3,HAB-CUO-F0,IN-CUO-F0,PRI-CUO-F0,PRO-CUO-F0,HAB-CUO-F1,IN-CUO-F1,PRI-CUO-F1,PRO-CUO-F1,HAB-CUO-F2,IN-CUO-F2,PRI-CUO-F2,PRO-CUO-F2,HAB-CUO-F3,IN-CUO-F3,PRI-CUO-F3,PRO-CUO-F3,HAB-AUM-F0,IN-AUM-F0,PRI-AUM-F0,PRO-AUM-F0,HAB-AUM-F1,IN-AUM-F1,PRI-AUM-F1,PRO-AUM-F1,HAB-AUM-F2,IN-AUM-F2,PRI-AUM-F2,PRO-AUM-F2,HAB-AUM-F3,IN-AUM-F3,PRI-AUM-F3,PRO-AUM-F3
2013-06-03,,,,,10.0,17.5026871,18.1457428,17.0913641,10.0,122.9631631,23.3188518,117.8398208,10.0,30.1353697,29.1147071,26.6869742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-04,,,,,10.0,17.4731967,18.1003826,17.0476173,10.0,122.4573492,23.2502235,117.3800815,10.0,30.0066403,29.043323,26.601239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05,,,,,10.0,17.4751655,18.0893584,17.0361097,10.0,122.4388936,23.1913423,117.1839881,10.0,30.0064506,29.0035993,26.5485144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-06,,,,,10.0,17.4324208,18.0554553,16.9969505,10.0,122.7899372,23.1946903,117.2699077,10.0,30.1929283,29.065365,26.6813822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-07,,,,,10.0,17.4440643,18.0807355,17.0164428,10.0,122.9693174,23.2371484,117.6229031,10.0,30.301381,29.1581765,26.8253773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-08,,,,,10.0,17.4440643,18.0807355,17.0164428,10.0,122.9693174,23.2371484,117.6229031,10.0,30.301381,29.1581765,26.8253773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-09,,,,,10.0,17.4440643,18.0807355,17.0164428,10.0,122.9693174,23.2371484,117.6229031,10.0,30.301381,29.1581765,26.8253773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-10,,,,,10.0,17.4418488,18.0657057,17.0035434,10.0,123.3014882,23.2625715,117.7999925,10.0,30.536105,29.2537491,26.9512212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-11,,,,,10.0,17.3329774,17.9719583,16.9155844,10.0,121.9839276,23.0387342,116.7586061,10.0,30.1156096,28.9147386,26.6575265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-12,,,,,10.0,17.2988765,17.9139159,16.8561074,10.0,121.0853492,22.8830037,115.9176017,10.0,29.8162819,28.6778602,26.3807167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-13,,,,,10.0,17.3871108,18.0022517,16.9261775,10.0,122.163239,23.0482436,116.8239683,10.0,30.2178368,28.9910592,26.7420337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-14,,,,,10.0,17.4620649,18.0765339,17.0048419,10.0,122.6090659,23.1614973,117.2859261,10.0,30.3259003,29.1345755,26.8511786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-15,,,,,10.0,17.4620649,18.0765339,17.0048419,10.0,122.6090659,23.1614973,117.2859261,10.0,30.3259003,29.1345755,26.8511786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-16,,,,,10.0,17.4620649,18.0765339,17.0048419,10.0,122.6090659,23.1614973,117.2859261,10.0,30.3259003,29.1345755,26.8511786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-17,,,,,10.0,17.5064989,18.1160702,17.0401934,10.0,123.713841,23.2969921,117.9475001,10.0,30.801077,29.440203,27.1594348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-18,,,,,10.0,17.4818714,18.0822114,17.019634,10.0,123.7092108,23.2875088,118.1545395,10.0,30.9070351,29.5193489,27.304774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-19,,,,,10.0,17.4289346,18.0270492,16.976933,10.0,123.031372,23.1378237,117.462255,10.0,30.7054886,29.3336332,27.1438653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-20,,,,,10.0,17.2176042,17.7825578,16.7679379,10.0,121.2209949,22.6848339,115.4107719,10.0,30.1150889,28.6555475,26.5984425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-21,,,,,10.0,17.0647409,17.6796438,16.6529232,10.0,119.8571595,22.4852108,114.3690261,10.0,29.7579316,28.3069836,26.3324405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-22,,,,,10.0,17.0647409,17.6796438,16.6529232,10.0,119.8571595,22.4852108,114.3690261,10.0,29.7579316,28.3069836,26.3324405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-23,,,,,10.0,17.0647409,17.6796438,16.6529232,10.0,119.8571595,22.4852108,114.3690261,10.0,29.7579316,28.3069836,26.3324405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-24,,,,,10.0,16.9318604,17.564426,16.5558026,10.0,118.4993315,22.2532883,113.2290903,10.0,29.3579405,27.9134051,26.0299524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-25,,,,,10.0,16.9696323,17.6028376,16.5861951,10.0,118.7515126,22.2844359,113.5766613,10.0,29.3724166,27.8981229,26.0778288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,,,10.0,17.0186995,17.6662044,16.6362115,10.0,119.2335041,22.3755585,114.1419502,10.0,29.4980063,28.0408787,26.2653281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-27,,,,,10.0,17.0437272,17.6937303,16.6660585,10.0,119.6242113,22.4568028,114.5475696,10.0,29.5928762,28.1342942,26.3768598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28,,,,,10.0,17.0821845,17.6874737,16.6769151,10.0003251,120.1382851,22.4937452,114.7599301,10.0,29.704516,28.184064,26.3518879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-29,,,,,10.0,17.0821845,17.6874737,16.6769151,10.0003251,120.1382851,22.4937452,114.7599301,10.0,29.704516,28.184064,26.3518879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,,,10.0,17.0821845,17.6874737,16.6769151,10.0003251,120.1382851,22.4937452,114.7599301,10.0,29.704516,28.184064,26.3518879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,,,,,10.0,17.1308501,17.7293252,16.6979605,10.0008344,120.6356958,22.5793426,115.1036557,10.0,29.8653985,28.3060981,26.4720048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-02,,,,,10.0,17.1205599,17.7124353,16.6823728,10.0009049,120.4943931,22.5385424,114.9257008,10.0,29.8340385,28.2779255,26.479442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
